episode,step,x,y
6.00,20.00,254.50,372.39
6.00,21.00,268.10,393.37
6.00,22.00,291.98,400.74
6.00,23.00,315.96,407.82
6.00,24.00,339.41,416.49
6.00,25.00,363.44,423.37
6.00,26.00,381.12,441.05
6.00,27.00,399.34,458.17
6.00,28.00,417.02,440.50
6.00,29.00,440.09,430.88
6.00,30.00,463.82,423.02
6.00,31.00,474.22,445.75
6.00,32.00,499.18,444.38
6.00,33.00,518.93,429.05
6.00,34.00,536.60,411.37
6.00,35.00,524.53,389.48
6.00,36.00,533.51,412.81
6.00,37.00,552.98,397.13
6.00,38.00,573.57,411.32
6.00,39.00,595.03,398.49
6.00,40.00,586.30,421.92
6.00,41.00,571.09,402.08
6.00,42.00,589.33,419.19
6.00,43.00,607.00,401.51
6.00,44.00,627.72,387.52
6.00,45.00,649.92,376.02
6.00,46.00,629.36,390.24
6.00,47.00,651.67,378.96
6.00,48.00,666.39,399.17
6.00,49.00,680.51,419.80
6.00,50.00,670.80,442.84
6.00,51.00,692.36,430.17
6.00,52.00,717.00,434.36
6.00,53.00,741.10,427.71
6.00,54.00,729.55,449.88
6.00,55.00,749.71,464.67
6.00,56.00,764.78,444.72
6.00,57.00,787.85,435.09
6.00,58.00,775.06,413.60
6.00,59.00,799.98,411.60
6.00,60.00,813.10,390.32
6.00,61.00,835.06,378.35
6.00,62.00,810.19,375.77
6.00,63.00,790.66,391.38
6.00,64.00,811.69,404.89
6.00,65.00,835.05,395.98
6.00,66.00,846.79,418.05
6.00,67.00,829.13,400.36
6.00,68.00,811.45,418.03
6.00,69.00,815.50,442.70
6.00,70.00,835.29,427.43
6.00,71.00,859.90,431.85
6.00,72.00,881.75,419.70
6.00,73.00,900.82,403.53
6.00,74.00,922.08,416.68
6.00,75.00,943.20,403.30
6.00,76.00,968.16,401.88
6.00,77.00,984.53,420.78
6.00,78.00,1000.00,417.76
6.00,79.00,980.12,432.93
6.00,80.00,971.70,456.46
6.00,81.00,976.15,431.86
6.00,82.00,951.42,435.59
6.00,83.00,969.10,453.27
6.00,84.00,984.43,473.02
6.00,85.00,1000.00,458.10
6.00,86.00,1000.00,453.09
6.00,87.00,1000.00,470.77
6.00,88.00,1000.00,447.80
6.00,89.00,1000.00,430.13
6.00,90.00,1000.00,439.43
6.00,91.00,983.71,420.47
6.00,92.00,1000.00,418.77
6.00,93.00,1000.00,436.44
6.00,94.00,1000.00,434.05
6.00,95.00,1000.00,416.70
6.00,96.00,1000.00,438.08
6.00,97.00,982.32,455.76
6.00,98.00,988.42,480.00
6.00,99.00,1000.00,494.25
6.00,100.00,1000.00,512.15
7.00,1.00,70.81,222.54
7.00,2.00,95.51,226.44
7.00,3.00,117.56,214.67
7.00,4.00,142.56,214.67
7.00,5.00,159.62,232.95
7.00,6.00,179.66,247.89
7.00,7.00,202.46,237.63
7.00,8.00,225.57,247.16
7.00,9.00,243.25,229.48
7.00,10.00,267.94,233.40
7.00,11.00,280.71,254.90
7.00,12.00,255.78,253.00
7.00,13.00,273.46,270.68
7.00,14.00,297.03,262.36
7.00,15.00,319.69,272.91
7.00,16.00,336.63,254.52
7.00,17.00,341.23,279.10
7.00,18.00,366.23,279.33
7.00,19.00,388.86,289.94
7.00,20.00,406.54,307.62
7.00,21.00,397.44,330.90
7.00,22.00,390.77,306.81
7.00,23.00,414.44,298.78
7.00,24.00,401.14,319.95
7.00,25.00,383.57,337.74
7.00,26.00,367.30,356.72
7.00,27.00,344.40,366.74
7.00,28.00,363.70,382.63
7.00,29.00,381.37,364.96
7.00,30.00,403.90,375.79
7.00,31.00,421.58,358.12
7.00,32.00,443.31,345.75
7.00,33.00,463.11,330.49
7.00,34.00,474.65,352.67
7.00,35.00,497.15,363.56
7.00,36.00,516.70,347.97
7.00,37.00,538.91,336.50
7.00,38.00,563.82,334.37
